Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kecamatan,Page
"1,15 Miliar",3,2,1,LT : 63 m²,LB : 85 m²,Sawangan,916
"1,08 Miliar",3,2,1,LT : 56 m²,LB : 85 m²,Sawangan,916
"1,8 Miliar",4,2,1,LT : 120 m²,LB : 150 m²,Cimanggis,916
"18,7 Miliar Total",LT:4670 m²,,,,,Krukut,916
750 Juta,2,LB:32 m²,,,,Cimanggis,916
"1,08 Miliar",3,2,1,LT : 56 m²,LB : 85 m²,Pancoran Mas,916
1 Miliar,4,3,1,LT : 138 m²,LB : 150 m²,Gandul,916
"4,6 Miliar",4,3,2,LT : 300 m²,LB : 216 m²,Cinere,916
"1,08 Miliar",3,2,1,LT : 56 m²,LB : 85 m²,Pancoran Mas,916
"1,85 Miliar Total",LT:240 m²,,,,,Cinere,916
"1,68 Miliar",3,2,2,LT : 108 m²,LB : 80 m²,Cinere,916
"1,3 Miliar",3,3,2,LT : 108 m²,LB : 85 m²,Rangkapanjaya,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,916
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,917
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,917
850 Juta,2,2,1,LT : 98 m²,LB : 100 m²,Pancoran Mas,917
"1,08 Miliar",3,2,1,LT : 56 m²,LB : 85 m²,Sawangan,917
"1,15 Miliar",3,2,1,LT : 63 m²,LB : 85 m²,Sawangan,917
"1,1 Miliar",3,2,LT:105 m²,LB : 93 m²,,Cipayung,917
"3,3 Miliar",4,5,3,LT : 279 m²,LB : 315 m²,Cinere,917
"8,75 Miliar",5,3,1,LT : 500 m²,LB : 415 m²,Cinere,917
35 Juta,2,1,LT:72 m²,LB : 45 m²,,Cipayung,917
"2,45 Miliar",3,3,1,LT : 120 m²,LB : 180 m²,Cinere,917
800 Juta,2,1,1,LT : 84 m²,LB : 60 m²,Cimanggis,917
"4,5 Miliar",5,4,1,LT : 234 m²,LB : 180 m²,Cinere,917
"9,5 Miliar",3,4,3,LT : 600 m²,LB : 387 m²,Pangkalan Jati,917
745 Juta,2,2,2,LT : 69 m²,LB : 50 m²,Sukmajaya,917
600 Juta,2,1,LT:50 m²,LB : 50 m²,,Sawangan,917
815 Juta,2,1,2,LT : 76 m²,LB : 50 m²,Cilodong,917
"2,3 Miliar",7,7,LT:70 m²,LB : 117 m²,,Beji,917
850 Juta,2,1,1,LT : 103 m²,LB : 75 m²,Beji,917
3 Miliar,4,3,1,LT : 180 m²,LB : 300 m²,Cibubur,917
750 Juta,3,2,1,LT : 66 m²,LB : 65 m²,Cinangka,917
880 Juta,2,2,2,LT : 89 m²,LB : 55 m²,Cilodong,918
600 Juta,3,2,1,LT : 45 m²,LB : 54 m²,Cilodong,918
670 Juta,2,1,1,LT : 70 m²,LB : 40 m²,Cipayung,918
"1,59 Miliar",3,2,2,LT : 102 m²,LB : 194 m²,Krukut,918
"2,2 Miliar Total",LT:1000 m²,,,,,Sawangan,918
"2,3 Miliar",4,3,2,LT : 171 m²,LB : 140 m²,Cinangka,918
"1,3 Miliar",3,3,2,LT : 88 m²,LB : 80 m²,Cilodong,918
895 Juta,3,2,1,LT : 90 m²,LB : 60 m²,Tapos,918
775 Juta,3,1,1,LT : 78 m²,LB : 46 m²,Cimanggis,918
600 Juta,3,2,2,LT : 70 m²,LB : 70 m²,Cimanggis,918
"1,2 Miliar",2,2,1,LT : 56 m²,LB : 90 m²,Gandul,918
"1,3 Miliar",4,3,2,LT : 100 m²,LB : 100 m²,Cipayung,918
"2,75 Miliar",5,3,2,LT : 500 m²,LB : 300 m²,Sawangan,918
"1,9 Miliar",3,2,1,LT : 88 m²,LB : 79 m²,Sawangan,918
"1,55 Miliar",4,3,1,LT : 92 m²,LB : 170 m²,Krukut,918
"3,25 Miliar",5,4,1,LT : 198 m²,LB : 250 m²,Cinere,918
40 Miliar Total,LT:1222 m²,,,,,Margonda,918
"3,5 Miliar",3,3,LT:200 m²,LB : 170 m²,,Sukmajaya,918
"27,7 Miliar Total",LT:2425 m²,,,,,Cisalak,918
"5,4 Miliar",5,4,1,LT : 316 m²,LB : 550 m²,Margonda,918
"1,45 Miliar",3,2,1,LT : 67 m²,LB : 123 m²,Cinere,919
667 Juta,2,2,1,LT : 66 m²,LB : 65 m²,Sawangan,919
"13,5 Miliar",30,30,15,LT : 1159 m²,LB : 1000 m²,Depok I,919
"1,5 Miliar",4,4,2,LT : 782 m²,LB : 400 m²,Cilodong,919
700 Juta,3,2,1,LT : 56 m²,LB : 46 m²,Cimanggis,919
"2,7 Miliar",4,3,1,LT : 337 m²,LB : 181 m²,Sukmajaya,919
350 Juta,2,1,1,LT : 50 m²,LB : 30 m²,Pancoran Mas,919
30 Miliar,11,10,LT:1428 m²,LB : 1200 m²,,Cinere,919
550 Juta,2,1,LT:54 m²,LB : 36 m²,,Pancoran Mas,919
"1,19 Miliar",3,3,1,LT : 75 m²,LB : 84 m²,Pancoran Mas,919
27 Miliar Total,3,LT:10650 m²,LB:8650 m²,,,Cisalak,919
"6,7 Miliar Total",LT:1663 m²,,,,,Mekarsari,919
870 Juta,3,2,LT:148 m²,LB : 130 m²,,Sukmajaya,919
220 Juta,1,LB:24 m²,,,,Depok II,919
205 Juta,2,1,LB:33 m²,,,Cibubur,919
"4,5 Juta /ha",LT:17000 m²,,,,,Sawangan,919
"2,3 Miliar Total",LT:2117 m²,,,,,Sawangan,919
"1,14 Miliar",3,2,2,LT : 76 m²,LB : 73 m²,Cinangka,919
"6,6 Miliar",6,6,1,LT : 225 m²,LB : 350 m²,Cinere,919
"2,4 Miliar",4,4,1,LT : 230 m²,LB : 240 m²,Cinere,919
"1,64 Miliar",3,2,2,LT : 72 m²,LB : 82 m²,Sawangan,920
12 Miliar,4,4,2,LT : 500 m²,LB : 300 m²,Pangkalan Jati,920
"1,47 Miliar Total",8,8,LT:292 m²,LB : 400 m²,,Cimanggis,920
"1,67 Miliar",3,3,2,LT : 83 m²,LB : 160 m²,Cinere,920
"6,8 Miliar Total",1,LT:971 m²,LB:458 m²,,,Depok I,920
"1,2 Miliar",1,LT:120 m²,LB:55 m²,,,Rangkapanjaya,920
"2,9 Miliar Total",LT:85 m²,LB:148 m²,,,,Cinere,920
"1,1 Miliar Total",LT:375 m²,,,,,Cibubur,920
"4,5 Miliar",6,6,LT:280 m²,,,Beji,920
"4,5 Miliar",6,6,LT:280 m²,,,Beji,920
3 Miliar,4,4,2,LT : 128 m²,LB : 151 m²,Cimanggis,920
300 Juta,2,1,1,LT : 57 m²,LB : 33 m²,Pancoran Mas,920
"3,5 Miliar",5,4,LT:180 m²,LB : 330 m²,,Cinere,920
26 Miliar,6,6,LT:2691 m²,LB : 900 m²,,Cinere,920
478 Juta,3,2,2,LT : 60 m²,LB : 50 m²,Citayam,920
365 Juta,2,1,1,LT : 75 m²,LB : 45 m²,Sawangan,920
"15,3 Miliar Total",LT:1456 m²,,,,,Depok I,920
"1,5 Miliar",3,3,1,LT : 68 m²,LB : 125 m²,Kukusan,920
700 Juta,1,1,LB:22 m²,,,Cibubur,920
"1,5 Miliar",3,3,2,LT : 97 m²,LB : 50 m²,Cimanggis,920
"3,66 Miliar Total",LT:1835 m²,,,,,Tapos,921
"2,9 Miliar",3,3,2,LT : 152 m²,LB : 195 m²,Cinere,921
"1,78 Miliar Total",LT:255 m²,,,,,Limo,921
"2,6 Miliar Total",3,LT:75 m²,LB:225 m²,,,Sawangan,921
"1,5 Miliar",3,2,1,LT : 108 m²,LB : 108 m²,Cinere,921
"1,08 Miliar",3,2,1,LT : 104 m²,LB : 104 m²,Cimanggis,921
"4,5 Miliar",17,17,LT:510 m²,LB : 450 m²,,Gandul,921
12 Miliar Total,LT:2000 m²,LB:1000 m²,,,,Sawangan,921
750 Juta,2,1,2,LT : 85 m²,LB : 48 m²,Sukatani,921
675 Juta,3,2,1,LT : 72 m²,LB : 90 m²,Sukmajaya,921
150 Juta,2,1,LT:40 m²,LB : 40 m²,,Pancoran Mas,921
110 Juta,3,2,1,LT : 112 m²,LB : 80 m²,Bojong Sari,921
"1,1 Miliar",3,2,1,LT : 110 m²,LB : 150 m²,Cimanggis,921
"2,6 Miliar",3,3,2,LT : 112 m²,LB : 136 m²,Sawangan,921
"9,5 Miliar",2,1,LT:838 m²,LB : 300 m²,,Cimanggis,921
"3,4 Miliar Total",3,LT:100 m²,LB:255 m²,,,Sawangan,921
"6,74 Miliar",5,3,1,LT : 585 m²,LB : 686 m²,Cimanggis,921
"2,6 Miliar",3,3,2,LT : 112 m²,LB : 136 m²,Limo,921
"1,55 Miliar",3,3,LT:84 m²,LB : 104 m²,,Cinangka,921
"1,8 Miliar",4,3,1,LT : 114 m²,LB : 185 m²,Cinere,921
"2,6 Miliar",3,3,2,LT : 112 m²,LB : 139 m²,Cinere,922
"5,5 Miliar",4,4,2,LT : 250 m²,LB : 201 m²,Cinere,922
"2,9 Miliar",4,4,2,LT : 200 m²,LB : 170 m²,Cinere,922
"2,99 Miliar",5,4,2,LT : 150 m²,LB : 230 m²,Cinere,922
"1,2 Miliar",4,3,2,LT : 70 m²,LB : 110 m²,Cilodong,922
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Pancoran Mas,922
"1,5 Miliar",3,2,2,LT : 82 m²,LB : 100 m²,Cimanggis,922
"2,8 Miliar",3,2,2,LT : 225 m²,LB : 180 m²,Cinere,922
"1,8 Miliar",3,2,LB:90 m²,,,Sawangan,922
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Sawangan,922
525 Juta,2,1,1,LT : 70 m²,LB : 36 m²,Sawangan,922
489 Juta,2,1,1,LT : 55 m²,LB : 36 m²,Pancoran Mas,922
"1,2 Miliar",2,1,LB:60 m²,,,Sawangan,922
"1,2 Miliar",3,3,1,LT : 70 m²,LB : 100 m²,Pancoran Mas,922
472 Juta,2,1,1,LT : 51 m²,LB : 36 m²,Pancoran Mas,922
600 Juta,2,1,LB:40 m²,,,Cinere,922
975 Juta,3,3,1,LT : 65 m²,LB : 55 m²,Cimanggis,922
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,922
630 Juta,2,1,1,LT : 71 m²,LB : 45 m²,Cilodong,922
1 Miliar,3,2,2,LT : 69 m²,LB : 88 m²,Cilodong,922
890 Juta,3,2,2,LT : 60 m²,LB : 65 m²,Cilodong,923
"4,5 Miliar",8,6,6,LT : 868 m²,LB : 700 m²,Sawangan,923
697 Juta,2,2,2,LT : 60 m²,LB : 36 m²,Cilodong,923
592 Juta,2,1,1,LT : 65 m²,LB : 40 m²,Cilodong,923
"1,89 Miliar",3,2,2,LT : 84 m²,LB : 95 m²,Sawangan,923
9 Miliar Total,LT:1028 m²,,,,,Cinere,923
"5,5 Miliar",5,3,2,LT : 494 m²,LB : 320 m²,Cinere,923
900 Juta,3,3,2,LT : 69 m²,LB : 69 m²,Sukmajaya,923
"1,15 Miliar",3,2,1,LT : 79 m²,LB : 90 m²,Cilodong,923
"1,1 Miliar",3,2,1,LT : 73 m²,LB : 90 m²,Cilodong,923
"2,1 Miliar Total",LT:700 m²,,,,,Bojong Sari,923
"1,1 Miliar Total",2,1,LT:64 m²,LB : 84 m²,,Rangkapanjaya,923
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Depok II,923
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Depok I,923
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Sawangan,923
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Limo,923
"2,4 Miliar",4,3,2,LT : 216 m²,LB : 149 m²,Cinere,923
840 Juta,3,2,1,LT : 66 m²,LB : 60 m²,Cinangka,923
575 Juta,2,1,LT:102 m²,,,Sawangan,923
575 Juta,2,1,LT:102 m²,,,Sawangan,923
"28,5 Miliar Total",LT:2304 m²,,,,,Pancoran Mas,924
500 Juta,2,1,2,LT : 65 m²,LB : 40 m²,Bojong Sari,924
1 Miliar Total,LT:200 m²,,,,,Tirtajaya,924
"2,2 Miliar",3,2,1,LT : 108 m²,LB : 185 m²,Cinere,924
"1,7 Miliar",3,2,3,LT : 278 m²,LB : 80 m²,Limo,924
700 Juta,3,2,1,LT : 63 m²,LB : 80 m²,Sawangan,924
500 Juta,2,1,1,LT : 60 m²,LB : 40 m²,Bojong Sari,924
"2,7 Miliar",4,2,1,LT : 400 m²,LB : 54 m²,Pancoran Mas,924
550 Juta,2,1,1,LT : 90 m²,LB : 90 m²,Depok II,924
600 Juta,2,1,1,LT : 60 m²,LB : 75 m²,Bojong Sari,924
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,924
14 Miliar,5,4,14,LT : 1060 m²,LB : 630 m²,Cimanggis,924
800 Juta,3,2,2,LT : 60 m²,LB : 75 m²,Bojong Sari,924
"1,2 Miliar",3,3,1,LT : 82 m²,LB : 90 m²,Cilodong,924
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,924
"6,5 Miliar",7,5,3,LT : 320 m²,LB : 430 m²,Harjamukti,924
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Depok I,924
"1,97 Miliar",3,3,2,LT : 104 m²,LB : 145 m²,Kukusan,924
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,924
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,924
400 Juta Total,LT:500 m²,,,,,Depok I,925
400 Juta Total,LT:500 m²,,,,,Depok I,925
400 Juta Total,LT:500 m²,,,,,Depok II,925
500 Juta Total,LT:500 m²,,,,,Depok II,925
"1,25 Miliar",3,3,2,LT : 78 m²,LB : 95 m²,Pancoran Mas,925
10 Miliar Total,2,LT:915 m²,LB:400 m²,,,Cimanggis,925
"1,37 Miliar",3,3,2,LT : 86 m²,LB : 95 m²,Pancoran Mas,925
425 Juta,4,2,2,LT : 100 m²,LB : 100 m²,Sawangan,925
"1,19 Miliar",3,3,2,LT : 75 m²,LB : 84 m²,Pancoran Mas,925
"1,15 Miliar",3,3,2,LT : 68 m²,LB : 84 m²,Pancoran Mas,925
"1,17 Miliar",3,3,2,LT : 72 m²,LB : 84 m²,Pancoran Mas,925
"1,98 Miliar",2,2,LT:85 m²,LB : 89 m²,,Cimanggis,925
"3,36 Miliar",3,3,LT:153 m²,LB : 165 m²,,Cimanggis,925
400 Juta,2,1,1,LT : 53 m²,LB : 40 m²,Sawangan,925
850 Juta,3,2,1,LT : 72 m²,LB : 95 m²,Cilodong,925
"1,2 Miliar",3,3,2,LT : 71 m²,LB : 85 m²,Cimanggis,925
550 Juta,2,2,1,LT : 45 m²,LB : 55 m²,Tapos,925
"1,2 Miliar",2,1,LB:52 m²,,,Beji,925
"2,3 Miliar",3,3,LT:132 m²,LB : 160 m²,,Cinere,925
"1,05 Miliar",3,3,2,LT : 74 m²,LB : 90 m²,Depok II,925
900 Juta,3,2,LT:50 m²,LB : 80 m²,,Cimanggis,926
"3,95 Miliar",5,4,4,LT : 211 m²,LB : 240 m²,Cipayung,926
700 Juta,2,1,1,LT : 93 m²,LB : 45 m²,Cilodong,926
"1,48 Miliar",4,2,2,LT : 110 m²,LB : 100 m²,Cibubur,926
370 Juta,2,1,1,LT : 60 m²,LB : 36 m²,Sawangan,926
500 Juta,2,1,2,LT : 75 m²,LB : 36 m²,Cimanggis,926
550 Juta Total,LT:138 m²,,,,,Limo,926
3 Miliar,4,4,1,LT : 150 m²,LB : 240 m²,Cinere,926
"4,2 Miliar",4,4,2,LT : 160 m²,LB : 222 m²,Sawangan,926
619 Juta,2,1,1,LT : 78 m²,LB : 50 m²,Depok I,926
"1,15 Miliar",3,2,1,LT : 92 m²,LB : 78 m²,Cipayung,926
1 Miliar,3,3,2,LT : 90 m²,LB : 150 m²,Tapos,926
"2,5 Miliar",3,3,1,LT : 156 m²,LB : 220 m²,Cinere,926
42 Miliar,6,6,2,LT : 406 m²,LB : 750 m²,Depok I,926
600 Juta,LB:22 m²,,,,,Cibubur,926
3 Miliar,7,4,1,LT : 150 m²,LB : 300 m²,Cinere,926
670 Juta,2,1,LT:72 m²,LB : 40 m²,,Cilodong,926
720 Juta,2,1,LT:90 m²,LB : 36 m²,,Sawangan,926
780 Juta,2,1,LT:60 m²,LB : 37 m²,,Sawangan,926
720 Juta,3,2,LT:81 m²,LB : 65 m²,,Pancoran Mas,926
"2,99 Miliar",4,2,LT:130 m²,LB : 130 m²,,Sawangan,927
980 Juta,2,1,LT:72 m²,LB : 71 m²,,Sawangan,927
"1,22 Miliar",4,2,LT:127 m²,LB : 107 m²,,Beji,927
"1,44 Miliar",3,3,LT:102 m²,LB : 90 m²,,Sawangan,927
830 Juta,3,1,LT:83 m²,LB : 65 m²,,Limo,927
670 Juta,2,1,LT:129 m²,LB : 30 m²,,Sawangan,927
"1,22 Miliar",2,1,LT:120 m²,LB : 45 m²,,Sawangan,927
"2,44 Miliar",5,3,LT:300 m²,LB : 270 m²,,Limo,927
"2,21 Miliar",4,3,LT:200 m²,LB : 170 m²,,Pancoran Mas,927
"3,1 Miliar",3,2,LT:128 m²,LB : 118 m²,,Sawangan,927
"1,77 Miliar",3,3,LT:96 m²,LB : 188 m²,,Beji,927
"1,66 Miliar",2,2,LT:200 m²,LB : 160 m²,,Sawangan,927
940 Juta,2,1,LT:87 m²,LB : 45 m²,,Pancoran Mas,927
"1,66 Miliar",3,3,LT:90 m²,LB : 130 m²,,Cimanggis,927
"8,5 Miliar Total",2,LT:615 m²,LB:450 m²,,,Cimanggis,927
"1,3 Miliar",3,2,1,LT : 90 m²,LB : 120 m²,Depok I,927
10 Miliar Total,5,LT:1131 m²,LB:609 m²,,,Cimanggis,927
730 Juta,2,1,1,LT : 72 m²,LB : 50 m²,Rangkapanjaya,927
"1,65 Miliar",4,4,1,LT : 90 m²,LB : 144 m²,Cibubur,927
"2,1 Miliar",4,2,1,LT : 112 m²,LB : 140 m²,Depok II,927
"17,6 Miliar Total",LT:6270 m²,,,,,Cilangkap,928
"9,2 Miliar Total",1,LT:114 m²,LB:314 m²,,,Beji,928
700 Juta,2,2,LT:65 m²,LB : 68 m²,,Cimanggis,928
"3,8 Miliar",5,3,2,LT : 319 m²,LB : 248 m²,Cinere,928
3 Miliar,7,4,1,LT : 150 m²,LB : 300 m²,Cinere,928
667 Juta,2,2,1,LT : 66 m²,LB : 65 m²,Bojong Sari,928
895 Juta,2,2,1,LT : 115 m²,LB : 100 m²,Sukmajaya,928
"3,25 Miliar",4,4,LT:412 m²,LB : 307 m²,,Cinere,928
4 Miliar,3,5,LT:750 m²,LB : 500 m²,,Cimanggis,928
4 Miliar,3,5,LT:750 m²,LB : 500 m²,,Cimanggis,928
"1,99 Miliar",3,2,LT:147 m²,LB : 134 m²,,Sawangan,928
"1,6 Miliar",2,2,1,LT : 98 m²,LB : 150 m²,Cibubur,928
750 Juta,2,1,1,LT : 90 m²,LB : 50 m²,Cinere,928
22 Miliar Total,LT:2200 m²,,,,,Cipayung,928
"1,97 Miliar",2,1,LT:160 m²,LB : 62 m²,,Cinere,928
300 Juta Total,LT:100 m²,,,,,Sawangan,928
910 Juta,3,2,2,LT : 70 m²,LB : 72 m²,Sawangan,928
"1,61 Miliar",3,3,2,LT : 72 m²,LB : 120 m²,Tanah Baru,928
"9,49 Miliar",6,3,3,LT : 746 m²,LB : 400 m²,Pancoran Mas,928
"5,6 Miliar Total",LT:750 m²,,,,,Cipayung,928
3 Miliar,4,3,LT:256 m²,LB : 250 m²,,Beji,929
999 Juta,2,2,1,LT : 50 m²,LB : 64 m²,Sawangan,929
"2,7 Miliar",4,3,2,LT : 128 m²,LB : 149 m²,Sawangan,929
879 Juta,3,2,1,LT : 60 m²,LB : 72 m²,Sawangan,929
"3,8 Miliar",4,4,5,LT : 405 m²,LB : 200 m²,Beji,929
"1,5 Miliar",4,2,2,LT : 295 m²,LB : 200 m²,Depok I,929
"5,5 Miliar",4,3,2,LT : 195 m²,LB : 250 m²,Cinere,929
850 Juta,3,2,1,LT : 75 m²,LB : 70 m²,Bojong Sari,929
"2,4 Miliar",4,3,LT:170 m²,LB : 100 m²,,Depok I,929
"2,9 Miliar",3,3,2,LT : 152 m²,LB : 152 m²,Cinere,929
"18,5 Miliar",LT:2304 m²,LB:55 m²,,,,Pancoran Mas,929
"1,5 Miliar",2,2,1,LT : 144 m²,LB : 66 m²,Sawangan,929
"1,14 Miliar",4,3,2,LT : 73 m²,LB : 100 m²,Sawangan,929
"73,1 Triliun Total",LT:6093 m²,,,,,Sawangan,929
10 Miliar,4,2,2,LT : 530 m²,LB : 350 m²,Cinere,929
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,929
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,929
200 Juta,2,1,1,LT : 42 m²,LB : 30 m²,Citayam,929
"1,9 Miliar",4,3,LT:114 m²,LB : 150 m²,,Cinere,929
"1,25 Miliar",3,2,LT:73 m²,LB : 68 m²,,Cinere,929
830 Juta,2,2,LT:93 m²,LB : 54 m²,,Cimanggis,930
890 Juta,2,2,LT:117 m²,LB : 100 m²,,Cilodong,930
"1,66 Miliar",3,2,LT:105 m²,LB : 80 m²,,Sawangan,930
780 Juta,2,1,LT:84 m²,LB : 70 m²,,Sawangan,930
295 Juta,2,2,2,LT : 50 m²,LB : 70 m²,Sawangan,930
920 Juta,4,2,LT:98 m²,LB : 88 m²,,Sawangan,930
870 Juta,2,1,LT:105 m²,LB : 90 m²,,Cilodong,930
890 Juta,2,2,LT:97 m²,LB : 67 m²,,Pancoran Mas,930
"3,9 Miliar",3,2,2,LT : 250 m²,LB : 200 m²,Sawangan,930
2 Miliar,3,4,2,LT : 100 m²,LB : 135 m²,Cinere,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
200 Juta,2,1,1,LT : 42 m²,LB : 33 m²,Citayam,930
650 Juta,2,1,1,LT : 68 m²,LB : 38 m²,Citayam,930
700 Juta,2,1,1,LT : 60 m²,LB : 45 m²,Beji,930
472 Juta,2,1,1,LT : 51 m²,LB : 36 m²,Pancoran Mas,931
750 Juta,3,2,1,LT : 70 m²,LB : 90 m²,Cinangka,931
500 Juta,1,1,LB:28 m²,,,Cinere,931
350 Juta,1,1,LB:28 m²,,,Beji,931
600 Juta,2,1,1,LT : 72 m²,LB : 45 m²,Cilodong,931
700 Juta,2,2,1,LT : 55 m²,LB : 60 m²,Limo,931
625 Juta,3,2,1,LT : 78 m²,LB : 55 m²,Sawangan,931
650 Juta,2,1,1,LT : 72 m²,LB : 45 m²,Cilodong,931
"1,2 Miliar",3,3,1,LT : 67 m²,LB : 94 m²,Cilodong,931
550 Juta,2,1,1,LT : 65 m²,LB : 42 m²,Cilodong,931
"1,2 Miliar",3,2,1,LT : 70 m²,LB : 110 m²,Cilodong,931
"1,2 Miliar",3,2,1,LT : 78 m²,LB : 90 m²,Cilodong,931
"1,15 Miliar",3,2,2,LT : 90 m²,LB : 100 m²,Cilodong,931
"21,5 Miliar",5,4,10,LT : 2425 m²,LB : 700 m²,Pangkalan Jati,931
2 Miliar,4,2,2,LT : 120 m²,LB : 220 m²,Tirtajaya,931
"1,25 Miliar",3,2,2,LT : 72 m²,LB : 90 m²,Cilodong,931
"7,3 Miliar Total",LT:1092 m²,,,,,Cinere,931
"3,5 Miliar",13,12,1,LT : 127 m²,LB : 180 m²,Bojong Sari,931
575 Juta,3,2,1,LT : 87 m²,LB : 58 m²,Pancoran Mas,931
944 Juta,3,2,1,LT : 61 m²,LB : 70 m²,Kelapa Dua,931
"73,1 Miliar Total",LT:6093 m²,,,,,Sawangan,932
"2,5 Miliar",3,2,2,LT : 120 m²,LB : 100 m²,Cinere,932
"17,6 Miliar Total",LT:6270 m²,,,,,Cilangkap,932
"3,9 Miliar",3,3,1,LT : 250 m²,LB : 200 m²,Sawangan,932
"2,1 Miliar",4,3,1,LT : 234 m²,LB : 147 m²,Kukusan,932
395 Juta,2,2,1,LT : 40 m²,LB : 48 m²,Cipayung,932
"1,89 Miliar",3,3,2,LT : 98 m²,LB : 110 m²,Sawangan,932
"1,25 Miliar",3,2,1,LT : 80 m²,LB : 140 m²,Tanah Baru,932
"2,9 Miliar",4,3,1,LT : 144 m²,LB : 250 m²,Sukmajaya,932
4 Miliar Total,2,LT:84 m²,LB:215 m²,,,Margonda,932
"1,5 Miliar",3,1,1,LT : 100 m²,LB : 130 m²,Tanah Baru,932
"7,5 Miliar",4,5,2,LT : 428 m²,LB : 300 m²,Cinere,932
"6,75 Miliar",5,4,2,LT : 400 m²,LB : 350 m²,Cinere,932
"3,35 Miliar",3,3,2,LT : 240 m²,LB : 308 m²,Cinere,932
"2,97 Miliar",3,2,2,LT : 235 m²,LB : 160 m²,Cinere,932
650 Juta,2,1,1,LT : 72 m²,LB : 45 m²,Limo,932
"1,3 Miliar Total",LT:289 m²,,,,,Tapos,932
2 Miliar,5,3,LT:185 m²,LB : 270 m²,,Cisalak,932
"1,45 Miliar",3,3,LT:86 m²,LB : 120 m²,,Limo,932
330 Juta,2,1,1,LT : 61 m²,LB : 37 m²,Depok I,932
940 Juta,2,1,LT:119 m²,LB : 60 m²,,Cilodong,933
"5,53 Miliar",4,2,LT:300 m²,LB : 200 m²,,Sukmajaya,933
760 Juta,2,2,LT:75 m²,LB : 55 m²,,Sawangan,933
"2,1 Miliar",2,2,LT:249 m²,LB : 125 m²,,Beji,933
"2,21 Miliar",5,3,LT:200 m²,LB : 140 m²,,Beji,933
"5,75 Miliar",5,3,LT:625 m²,LB : 450 m²,,Limo,933
"1,94 Miliar",4,2,LT:120 m²,LB : 130 m²,,Sukmajaya,933
940 Juta,3,1,LT:102 m²,LB : 80 m²,,Pancoran Mas,933
"3,87 Miliar",6,4,LT:385 m²,LB : 350 m²,,Beji,933
"2,66 Miliar",4,3,LT:145 m²,LB : 165 m²,,Limo,933
"2,38 Miliar",4,2,LT:120 m²,LB : 134 m²,,Sukmajaya,933
560 Juta,2,1,LT:60 m²,LB : 40 m²,,Sawangan,933
"2,33 Miliar",4,3,LT:190 m²,LB : 176 m²,,Pancoran Mas,933
"3,43 Miliar",4,3,LT:200 m²,LB : 169 m²,,Sawangan,933
"1,99 Miliar",3,2,LT:230 m²,LB : 140 m²,,Pancoran Mas,933
"1,33 Miliar",4,3,LT:136 m²,LB : 45 m²,,Cipayung,933
"1,33 Miliar",3,2,LT:66 m²,LB : 77 m²,,Sawangan,933
"1,2 Miliar Total",LT:110 m²,LB:160 m²,,,,Depok I,933
4 Miliar,4,2,LT:400 m²,LB : 250 m²,,Cimanggis,933
70 Miliar,67,67,11,LT : 2270 m²,LB : 250 m²,Tugu,933
"2,8 Miliar Total",LT:500 m²,,,,,Beji,934
3 Miliar Total,LT:100 m²,LB:300 m²,,,,Cinere,934
